bid,s,t,ps,pr,id_r,x_r,px_r,y_r,py_r,ev_r,var_r,id,x,px,y,py,ev,var,b,pairid,designid,difficultylevel,rareevent
5,0,1,1,0.67232,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,1,2,0.5392,0.5904,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,2,2,1,0.5904,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,4,2,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,7,2,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,2,3,0.424,0.488,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,3,3,0.424,0.488,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,4,3,1,0.488,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,5,3,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,6,3,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,8,3,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,9,3,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,11,3,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,14,3,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,3,4,0.2,0.36,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,4,4,0.28,0.36,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,5,4,0.28,0.36,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,6,4,1,0.36,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,7,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,8,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,9,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,10,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,11,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,12,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,13,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,15,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,16,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,18,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,21,4,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,4,5,0,0.2,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,5,5,0,0.2,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,6,5,0.1,0.2,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,7,5,0.1,0.2,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,8,5,1,0.2,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,9,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,10,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,11,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,12,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,13,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,14,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,15,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,16,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,17,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,18,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,19,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,20,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,22,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,23,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,25,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,28,5,1,1,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
1,0,1,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,1,2,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,3,2,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,4,2,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,6,2,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,2,3,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,4,3,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,5,3,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,6,3,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,7,3,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,8,3,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,9,3,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,10,3,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,12,3,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,3,4,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
1,5,4,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
