bid,s,t,ps,pr,id_r,x_r,px_r,y_r,py_r,ev_r,var_r,id,x,px,y,py,ev,var,b,pairid,designid,difficultylevel,rareevent
1,0,1,1,1,40,6,0.5,1,0.5,3.5,6.25,163,4,0.5,3,0.5,3.5,0.25,6,19,1 19,1,FALSE
3,0,1,0.99968,0.99904,398,1,0.6,9,0.4,4.2,15.36,67,5,0.8,1,0.2,4.2,2.56,8,42,3 42,1,FALSE
5,0,1,1,0.67232,13,7,0.2,1,0.8,2.2,5.76,80,4,0.1,2,0.9,2.2,0.36,10,1,5 1,1,TRUE
5,0,1,1,0.99998,360,1,0.2,9,0.8,7.4,10.24,143,8,0.9,2,0.1,7.4,3.24,10,80,5 80,1,TRUE
15,0,1,0.8125,0.75,42,8,0.5,1,0.5,4.5,12.25,110,7,0.5,2,0.5,4.5,6.25,20,22,15 22,2,FALSE
24,0,1,0.671875,0.7353515625,130,8,0.75,2,0.25,6.5,6.75,287,7,0.5,6,0.5,6.5,0.25,34,78,24 78,2,FALSE
25,0,1,0.92366,0.87992,361,2,0.2,9,0.8,7.6,7.84,336,4,0.1,8,0.9,7.6,1.44,35,133,25 133,2,TRUE
25,0,1,0.92366,0.87992,361,3,0.2,10,0.8,7.6,7.84,336,5,0.1,9,0.9,7.6,1.44,40,133,25 133,2,TRUE
24,0,1,0.01296,0.03078,407,3,0.7,9,0.3,4.8,7.56,170,6,0.6,3,0.4,4.8,2.16,39,90,24 90,3,FALSE
22,0,1,0.0189,0.03591,407,3,0.7,9,0.3,4.8,7.56,235,5,0.8,4,0.2,4.8,0.16,37,113,22 113,3,FALSE
32,0,1,0.00224,0.00671999999999999,418,1,0.8,9,0.2,2.6,10.24,351,2,0.9,8,0.1,2.6,3.24,37,138,32 138,3,TRUE
32,0,1,0.00224,0.00671999999999999,418,2,0.8,10,0.2,2.6,10.24,351,3,0.9,9,0.1,2.6,3.24,42,138,32 138,3,TRUE
